1000000,34,32,30.6,30.6,23.2,15.3,28.8,25.5,25.9,23.3,16.6,17.8
34,1000000,2.2,6.5,5.1,26.3,24.6,18.4,28.5,21.6,34.2,27.2,27
31.7,2.4,1000000,4.8,2.4,25.2,22.3,16.8,27.4,16.1,33.3,26.4,25.4
31.1,6.4,5.1,1000000,2.6,18.1,17.6,12.8,20.2,14.9,27.6,20.7,19.6
30.4,4.8,3.1,2.4,1000000,19.7,21,14.4,21.9,16.9,30,25,24
22.3,22.4,21.9,14.7,17.1,1000000,7.4,5.8,6.9,4,11.5,9.8,7.6
15.3,24.8,22.8,17,21.4,8.3,1000000,15.8,10.3,11.1,8.7,3.7,2.6
28.7,18.4,17.1,12.1,14.6,8.4,15.7,1000000,10.6,7.7,17.1,16.5,13.2
25.8,27.9,27.3,20.1,22.5,5.6,11.3,11.2,1000000,8.3,13,10.8,8.6
25.9,21.9,21.4,14.2,16.6,5.4,11.1,7.6,7.5,1000000,14.2,13.6,10.3
25.2,35.1,33.3,27.6,30,11.5,8.7,17.1,13,14.2,1000000,6.8,7.7
17.8,28.4,26.4,20.7,25,9.8,3.7,16.5,10.8,13.6,6,1000000,3.2
17.3,29.9,25.4,19.6,24,7.6,2.6,13.2,8.6,10.3,7.7,1.9,1000000
