1000,40,30,46,44,45,42,41,39,54,40,44,41,33,39,25,45,43,42,40,41,38,42,17,46,43,45,25,46,47,38,39,29,29,36,39,38,30,39,35,40
40,1000,16,32,31,34,32,33,32,33,32,30,33,12,5,22,19,16,27,17,6,22,10,21,13,6,8,19,15,17,13,12,14,15,10,7,15,13,16,15,1
30,16,1000,59,57,59,57,53,52,57,54,56,53,26,24,28,45,35,36,33,19,34,25,17,26,19,21,23,35,38,17,15,11,15,16,22,14,16,16,12,19
46,32,59,1000,4,3,6,13,15,13,11,3,6,34,28,32,29,29,31,30,24,28,30,33,25,26,30,31,31,33,44,39,37,37,37,34,46,36,50,45,34
44,31,57,4,1000,5,3,12,13,16,8,2,5,32,26,31,26,27,29,28,23,26,28,34,23,25,28,29,29,31,41,37,36,36,34,31,44,35,46,44,31
45,34,59,3,5,1000,7,15,15,13,12,5,5,36,30,31,31,31,33,31,27,29,32,33,28,28,32,30,34,33,47,42,36,36,39,37,48,36,49,45,36
42,32,57,6,3,7,1000,10,9,19,5,4,6,34,28,27,28,30,28,26,24,24,30,29,26,27,30,26,31,32,47,41,35,38,37,35,47,34,48,46,30
41,33,53,13,12,15,10,1000,4,23,6,12,12,30,26,25,25,26,22,21,20,19,26,26,21,23,25,23,27,29,40,37,30,33,34,30,42,28,43,43,27
39,32,52,15,13,15,9,4,1000,25,5,12,11,29,24,23,23,22,20,18,18,17,24,24,19,21,23,21,25,26,43,38,30,33,35,33,46,29,44,42,27
54,33,57,13,16,13,19,23,25,1000,22,17,16,35,31,41,30,31,38,37,28,36,32,41,28,29,32,40,33,34,45,43,45,45,39,36,49,41,48,47,33
40,32,54,11,8,12,5,6,5,22,1000,8,8,33,28,24,28,29,25,24,20,21,29,27,22,24,26,24,30,33,44,43,32,35,39,39,48,31,47,43,33
44,30,56,3,2,5,4,12,12,17,8,1000,5,34,27,31,27,27,30,29,24,26,28,32,24,26,28,31,30,31,47,44,38,41,39,38,52,36,50,49,33
41,33,53,6,5,5,6,12,11,16,8,5,1000,36,31,27,31,31,30,29,24,27,31,30,27,28,30,26,34,35,50,48,36,39,43,43,52,31,49,47,34
33,12,26,34,32,36,34,30,29,35,33,34,36,1000,9,9,19,13,21,16,11,17,12,15,20,13,14,11,16,17,32,28,15,16,9,22,28,28,25,24,15
39,5,24,28,26,30,28,26,24,31,28,27,31,9,1000,17,11,8,14,8,4,10,9,24,11,10,12,20,11,11,24,21,20,21,14,16,27,16,28,26,8
25,22,28,32,31,31,27,25,23,41,24,31,27,9,17,1000,24,19,21,19,16,17,18,6,25,19,20,3,22,22,29,28,9,13,14,31,25,6,23,22,23
45,19,45,29,26,31,28,25,23,30,28,27,31,19,11,24,1000,12,24,15,13,20,16,28,9,17,18,25,12,13,36,33,31,31,24,26,38,26,37,36,20
43,16,35,29,27,31,30,26,22,31,29,27,31,13,8,19,12,1000,16,11,2,12,10,24,9,10,12,20,5,6,17,17,16,19,13,12,19,15,19,19,9
42,27,36,31,29,33,28,22,20,38,25,30,30,21,14,21,24,16,1000,8,15,1,20,24,24,20,22,21,21,22,23,23,23,25,19,18,25,21,25,26,15
40,17,33,30,28,31,26,21,18,37,24,29,29,16,8,19,15,11,8,1000,8,5,13,23,14,13,15,20,14,15,18,18,18,20,14,13,20,16,21,21,10
41,6,19,24,23,27,24,20,18,28,20,24,24,11,4,16,13,2,15,8,1000,11,9,24,10,10,11,20,6,7,15,15,14,16,11,22,16,23,22,21,9
38,22,34,28,26,29,24,19,17,36,21,26,27,17,10,17,20,12,1,5,11,1000,16,20,20,16,18,17,17,18,26,24,22,25,20,19,27,22,29,29,15
42,10,25,30,28,32,30,26,24,32,29,28,31,12,9,18,16,10,20,13,9,16,1000,27,21,7,3,23,19,19,18,16,17,20,12,12,20,14,21,22,8
17,21,17,33,34,33,29,26,24,41,27,32,30,15,24,6,28,24,24,23,24,20,27,1000,28,26,27,8,29,30,24,22,11,14,18,27,20,12,20,18,24
46,13,26,25,23,28,26,21,19,28,22,24,27,20,11,25,9,9,24,14,10,20,21,28,1000,17,18,25,9,10,25,24,25,27,21,19,28,23,29,28,16
43,6,19,26,25,28,27,23,21,29,24,26,28,13,10,19,17,10,20,13,10,16,7,26,17,1000,10,22,18,18,18,17,17,19,11,12,20,14,22,21,8
45,8,21,30,28,32,30,25,23,32,26,28,30,14,12,20,18,12,22,15,11,18,3,27,18,10,1000,25,20,21,20,19,19,22,14,14,23,16,24,23,10
25,19,23,31,29,30,26,23,21,40,24,31,26,11,20,3,25,20,21,20,20,17,23,8,25,22,25,1000,25,26,20,19,8,11,15,25,17,8,17,15,21
46,15,35,31,29,34,31,27,25,33,30,30,34,16,11,22,12,5,21,14,6,17,19,29,9,18,20,25,1000,3,25,24,26,27,20,19,28,22,29,28,15
47,17,38,33,31,33,32,29,26,34,33,31,35,17,11,22,13,6,22,15,7,18,19,30,10,18,21,26,3,1000,26,25,27,27,21,20,29,23,30,29,15
38,13,17,44,41,47,47,40,43,45,44,47,50,32,24,29,36,17,23,18,15,26,18,24,25,18,20,20,25,26,1000,9,12,16,17,11,5,17,6,10,11
