1000007748,0.118,0.001
1000007683,89.628,0.153
1000014889,196.382,0.592
1000015223,146.1,0.3
1000015400,65.428,0.113
1000015439,870.962,1.236
1000015454,300.674,1.109
1000015502,37.077,0.06
1000015572,170.809,0.545
0200001431,434.437,1.09
1000010217,2.9,0.006
1000010278,0.89,0.002
1000015215,44.31,0.072
1000015217,374.629,0.798
1000006840,270.284,1.388
1000007848,57.984,0.078
1000008148,13.524,0.017
1000008160,582.32,1.517
1000009655,2.11,0.006
1000009925,72.8,0.097
1000010706,0.48,0.001
1000010710,191.776,0.308
1000010797,67.038,0.114
1000010833,8.412,0.034
1000010868,11.57,0.015
1000010891,26.239,0.093
1000011181,21.907,0.075
1000011306,211.542,0.276
1000011891,16.097,0.05
1000012862,647.7,1.188
1000013503,12.856,0.033
1000014988,28.263,0.109
1000006839,704.731,0.996
1000009933,26.419,0.039
1000009975,3.213,0.009
1000009983,18.91,0.029
1000011228,390.274,0.75
1000011558,23.887,0.112
1000011879,14.06,0.022
1000012672,40.905,0.145
