1000007748,456.006,0.979
1000007683,535.3576667,1.145
1000014889,369.9133333,0.999
1000015223,359.7833333,1.092
1000015400,456.006,0.979
1000015439,870.962,1.236
1000015454,300.674,1.109
1000015502,432.1545714,1.063714286
1000015572,337.9517143,0.926571429
200001431,434.437,1.09
1000010217,535.3576667,1.145
1000010278,369.9133333,0.999
1000015215,359.7833333,1.092
1000015217,374.629,0.798
1000006840,270.284,1.388
1000007848,57.984,0.078
1000008148,521.3243333,0.82
1000008160,582.32,1.517
1000009655,348.1266667,1.071
1000009925,72.8,0.097
1000010706,409.0776667,1.234333333
1000010710,191.776,0.308
1000010797,67.038,0.114
1000010833,328.546,0.700333333
1000010868,350.3393333,0.590666667
1000010891,26.239,0.093
1000011181,21.907,0.075
1000011306,211.542,0.276
1000011891,16.097,0.05
1000012862,647.7,1.188
1000013503,521.3243333,0.82
1000014988,28.263,0.109
1000006839,704.731,0.996
1000009933,26.419,0.039
1000009975,348.1266667,1.071
1000009983,18.91,0.029
1000011228,390.274,0.75
1000011558,23.887,0.112
1000011879,580.9016667,0.978
1000012672,40.905,0.145
