1000,46,42,41,40,39,25,42,42,46,38,29,30
45,1000,6,13,11,28,32,31,30,31,44,37,36
40,7,1000,10,5,28,27,28,30,31,47,38,34
41,13,11,1000,6,26,25,22,26,27,40,33,28
38,10,7,6,1000,28,24,25,29,30,44,35,31
40,23,23,18,23,1000,17,14,9,11,24,21,16
23,32,28,25,26,14,1000,21,18,22,29,13,6
40,31,28,19,24,18,20,1000,20,21,23,25,21
43,30,30,25,30,10,21,23,1000,19,18,20,14
45,33,32,27,31,12,22,21,14,1000,25,27,22
37,41,45,40,44,24,29,23,18,25,1000,16,17
30,40,38,33,35,21,13,25,20,27,13,1000,8
29,36,34,28,31,16,6,21,14,22,17,5,1000
